SALE TYPE,SOLD DATE,Days_Since_Sold,Month_Sold,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,AGE,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,URL,SOURCE,MLS#,FAVORITE,LATITUDE,LONGITUDE,STORAGE_STRUCTURE,Garage_Spaces,Basement_Level,Recently_Renovated
PAST SALE,2025-03-28,89,3,Single Family Residential,270 Little Greys Lp Loop,Etna,WY,83118,585000,4,2.5,Etna Village Estates,2062,26136,2024,1,,284,840.0,Sold,https://www.redfin.com/WY/Etna/270-Little-Greys-Loop-83120/home/190904485,TBOR,24-1108,N,43.0343548,-111.0199148,0,2,2,0
PAST SALE,2025-02-14,131,2,Single Family Residential,300 Young Ln,Afton,WY,83110,799900,7,4.0,Rockbridge Meadows,5202,21344,2022,3,,154,100.0,Sold,https://www.redfin.com/WY/Afton/300-Young-Ln-83110/home/165557571,TBOR,24-133,N,42.7375479,-110.921338,0,3,3,0
PAST SALE,2025-04-18,68,4,Single Family Residential,670 N Sprague Creek Rd,Fairview,WY,83119,1100000,3,2.5,Fairview,3913,109335,2008,17,,281,13.0,Sold,https://www.redfin.com/WY/Fairview/670-N-Sprague-Creek-Dr-83119/home/190979240,TBOR,24-1178,N,42.6614,-110.977555,0,3,3,0
PAST SALE,2024-12-06,201,12,Single Family Residential,73 Cameo Ct,Afton,WY,83110,849000,4,3.5,Cameo Estates,3812,215186,2014,11,,223,,Sold,https://www.redfin.com/WY/Afton/73-Cameo-Ct-83110/home/135453928,TBOR,24-4,N,42.7068398,-110.9808642,0,3,0,0
PAST SALE,2024-09-25,273,9,Single Family Residential,176 Cedar Dr,Star Valley Ranch,WY,83127,749000,4,3.0,Star Valley Ranch,2780,30492,2004,21,,269,581.0,Sold,https://www.redfin.com/WY/Star-Valley-Ranch/176-Cedar-Dr-83127/home/187933232,TBOR,23-1773,N,42.9885501,-110.962143,0,2,3,0
PAST SALE,2025-02-26,119,2,Single Family Residential,1015 Saddle Dr,Etna,WY,83120,599000,4,2.0,Nordic Ranches,1672,81457,1995,30,,358,,Sold,https://www.redfin.com/WY/Etna/1015-Saddle-Dr-83118/home/135416917,TBOR,23-1371,N,43.081862,-111.001046,1,2,3,0
PAST SALE,2025-04-01,85,4,Single Family Residential,210 S Washington St,Afton,WY,83110,400000,3,2.0,Afton,1425,16552,1917,108,,281,,Sold,https://www.redfin.com/WY/Afton/210-S-Washington-St-83110/home/135376385,TBOR,23-216,N,42.729324,-110.933808,0,1,2,1
PAST SALE,2025-05-30,26,5,Single Family Residential,360 Noble Ln,Bedford,WY,83112,4500000,7,5.0,Turnerville,9439,871200,2002,23,,477,,Sold,https://www.redfin.com/WY/Bedford/360-Noble-Ln-83112/home/135438319,TBOR,22-1093,N,42.8634781,-110.8895849,0,2,0,0
PAST SALE,2025-04-08,78,4,Single Family Residential,429 Vista Dr,Star Valley Ranch,WY,83127,150000,4,1.0,,2546,21781,1983,42,,59,,,https://www.redfin.com/WY/Star-Valley-Ranch/429-Vista-Dr-83127/home/135353479,,,N,42.979134,-110.964917,0,0,0,0
PAST SALE,2024-10-15,253,10,Single Family Residential,13 Palisades Dr,Alpine,WY,83128,635000,2,1.0,,1248,37462,1980,45,,509,,,https://www.redfin.com/WY/Alpine/13-Palisades-Dr-83128/home/135370822,,,N,43.192486,-111.03807,0,0,0,0
